,Titre,sstitre,Auteur,Editeur,Date,prets,Nombre de prêts par exemplaire,exemplaires,localisations,Langue,cat,tauxemprunt
339402,"Ba'îdan mina al-dhawdhâ', qarîban mina al-sukkkân ", ,Mohammed Berrada,Nashr al-fanek = نشر الفنك,2014,0.0,0.0,1.0,1.0,arabe,LMMO Litterature du Maghreb et du Moyen-Orient,0.0
426480,L'alphabet du feu , ,Silvia Baron Supervielle,Gallimard,2007,0.0,0.0,1.0,1.0,français,Littérature française (autres),0.0
221136,The white tiger , ,Aravind Adiga,Atlantic Books,2008,2.0,2.0,1.0,1.0,anglais,LIND Litterature indienne et asiatique,8.0
406387,Voyages , ,Charles-Louis de Secondat Montesquieu,Arléa,2003,0.0,0.0,3.0,3.0,français,LFRA Litterature francaise,0.0
444896,Le cri dans le mur , ,Michel Bataille,Julliard,1970,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
159531,Les mouches d'automne , ,Irène Nemirovsky,Ed. de la Loupe,2009,4.0,2.0,2.0,2.0,français,LFRA Litterature francaise,8.0
48376,Les chaussures italiennes , ,Henning Mankell,À vue d'oeil,2010,25.0,2.0833333333333335,12.0,12.0,français,LNOR Litterature nordique,9.0
325526,Théâtre , ,Félicien Marceau,Gallimard,1964,0.0,0.0,2.0,2.0,français,LFRA Litterature francaise,0.0
282077,Les baratineurs , ,Anna Davis,NiL éd.,2002,1.0,1.0,1.0,1.0,français,LBRI Litterature britannique,4.0
121175,Le second livre des contes perdus ,Histoire de la Terre du Milieu,John Ronald Reuel Tolkien,Pocket,2006,7.0,1.75,4.0,4.0,français,LBRI Litterature britannique,7.0
65115,Gatsby le magnifique , ,Francis Scott Fitzgerald,Librairie générale française,2013,17.0,3.4,5.0,5.0,français,LNAM Litterature nord-americaine,14.0
148035,La Révolution d'Aurore , ,Catherine Cuenca,Nathan,2016,5.0,5.0,1.0,1.0,français,LFRA Litterature francaise,21.0
255935,L'oeuvre de François Rabelais et la culture populaire au Moyen-Age et sous la Renaissance , ,Mihail Mihailovic Bahtin,Gallimard,1970,1.0,1.0,1.0,1.0,français,LFRA Litterature francaise,4.0
185307,Au coeur des ténèbres , ,Joseph Conrad,Flammarion,2017,3.0,1.0,3.0,3.0,français,LGER Litterature germanique,4.0
133017,Soyons fous , ,Lisa Plumley,Milady,2016,6.0,6.0,1.0,1.0,français,LNAM Litterature nord-americaine,25.0
80507,Exbrayat , ,Charles Exbrayat,Librairie des Champs Elysées,1993,13.0,1.8571428571428572,7.0,7.0,français,LFRA Litterature francaise,8.0
439312,Les romans de Robbe-Grillet , ,Bruce Morrissette,Ed. de Minuit,1963,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
438623,Un Peu d'électricité sous un grand masque noir , ,Yves Martin,le Cherche-Midi,1979,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
58251,La clarté de la lune ,Le clan des Otori,Lian Hearn,Gallimard,2007,20.0,0.9523809523809523,21.0,18.0,français,LAUS Litterature australienne et du Pacifique,4.0
